id,x,y,w,h,cx,cy,angle_deg,radius,char,name,cp_hex,cp_bin,utf8_hex,utf8_bin
1,721,117,79,76,760.5,155,343.13,908.07,👏,CLAPPING HANDS SIGN,1F44F,11111010001001111,F09F918F,11110000100111111001000110001111
2,837,131,72,69,873,165.5,350.02,871.68,💭,THOUGHT BALLOON,1F4AD,11111010010101101,F09F92AD,11110000100111111001001010101101
3,956,164,60,61,986,194.5,357.38,830.37,🥴,FACE WITH UNEVEN EYES AND WAVY MOUTH,1F974,11111100101110100,F09FA5B4,11110000100111111010010110110100
4,1027,98,56,65,1055,130.5,1.99,894.04,🙎‍♀️,WOMAN POUTING,1F64E-200D-2640-FE0F,11111011001001110 10000000001101 10011001000000 1111111000001111,F09F998EE2808DE29980EFB88F,11110000100111111001100110001110111000101000000010001101111000101001100110000000111011111011100010001111
5,1127,146,64,64,1159,178,9.07,856.70,🖤,BLACK HEART,1F5A4,11111010110100100,F09F96A4,11110000100111111001011010100100
6,1053,205,64,63,1085,236.5,4.43,789.86,❤️,HEAVY BLACK HEART,2764-FE0F,10011101100100 1111111000001111,E29DA4EFB88F,111000101001110110100100111011111011100010001111
7,1137,260,71,66,1172.5,293,11.48,745.93,🪙,COIN,1FA99,11111101010011001,F09FAA99,11110000100111111010101010011001
8,1215,209,71,65,1250.5,241.5,16.14,814.62,🚴,BICYCLIST,1F6B4,11111011010110100,F09F9AB4,11110000100111111001101010110100
9,1311,170,56,60,1339,200,20.92,882.16,🏃‍♀️,WOMAN RUNNING,1F3C3-200D-2640-FE0F,11111001111000011 10000000001101 10011001000000 1111111000001111,F09F8F83E2808DE29980EFB88F,11110000100111111000111110000011111000101000000010001101111000101001100110000000111011111011100010001111
10,1296,279,68,66,1330,312,23.26,774.97,🙏,PERSON WITH FOLDED HANDS,1F64F,11111011001001111,F09F998F,11110000100111111001100110001111
11,1392,246,51,67,1417.5,279.5,27.86,842.09,👨‍✈️,MAN PILOT,1F468-200D-2708-FE0F,11111010001101000 10000000001101 10011100001000 1111111000001111,F09F91A8E2808DE29C88EFB88F,11110000100111111001000110101000111000101000000010001101111000101001110010001000111011111011100010001111
12,1499,227,24,70,1511,262,32.58,904.33,🧍‍♀️,WOMAN STANDING,1F9CD-200D-2640-FE0F,11111100111001101 10000000001101 10011001000000 1111111000001111,F09FA78DE2808DE29980EFB88F,11110000100111111010011110001101111000101000000010001101111000101001100110000000111011111011100010001111
